stationID,CONTINENT,lon,lat,WMO_zone,percent_rank_level_EWM_His,percent_rank_level_EWM_soc_126,percent_rank_level_EWM_soc_585
980,Oceania,123.5,-30.836982706677,1,3,2,3
981,Oceania,124.5,-30.836982706677,1,2,2,2
982,Oceania,125.5,-30.836982706677,1,2,2,2
983,Oceania,126.5,-30.836982706677,1,2,2,2
984,Oceania,127.5,-30.836982706677,1,3,2,3
985,Oceania,128.5,-30.836982706677,1,4,2,3
986,Oceania,129.5,-30.836982706677,1,2,2,2
987,Oceania,130.5,-30.836982706677,1,2,2,2
988,Oceania,131.5,-30.836982706677,1,2,2,2
989,Oceania,132.5,-30.836982706677,1,2,2,2
990,Oceania,133.5,-30.836982706677,1,2,2,2
991,Oceania,134.5,-30.836982706677,1,2,2,2
992,Oceania,135.5,-30.836982706677,1,2,2,2
993,Oceania,136.5,-30.836982706677,1,2,3,4
994,Oceania,137.5,-30.836982706677,1,2,2,2
995,Oceania,138.5,-30.836982706677,3,2,2,2
996,Oceania,139.5,-30.836982706677,1,2,2,2
997,Oceania,140.5,-30.836982706677,7,2,2,2
998,Oceania,141.5,-30.836982706677,1,2,2,2
999,Oceania,142.5,-30.836982706677,1,2,2,2
1000,Oceania,143.5,-30.836982706677,1,2,2,2
1001,Oceania,144.5,-30.836982706677,1,2,2,2
